--------- beginning of crash
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl.access$applyLibraryDiff$s-863654436(LibrarySyncDao_Impl.kt:26)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl$applyLibraryDiff$2.invokeSuspend(LibrarySyncDao_Impl.kt:214)
07-11 18:11:11.042 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl$applyLibraryDiff$2.invoke(LibrarySyncDao_Impl.kt:8)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at com.kaon.music.media.library.db.dao.LibrarySyncDao_Impl$applyLibraryDiff$2.invoke(LibrarySyncDao_Impl.kt:2)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2$invokeSuspend$$inlined$internalPerform$1$1.invokeSuspend(DBUtil.kt:60)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2$invokeSuspend$$inlined$internalPerform$1$1.invoke(DBUtil.kt:8)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2$invokeSuspend$$inlined$internalPerform$1$1.invoke(DBUtil.kt:4)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection.transaction(PassthroughConnectionPool.kt:127)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection.access$transaction(PassthroughConnectionPool.kt:77)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invokeSuspend(PassthroughConnectionPool.kt:103)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invoke(PassthroughConnectionPool.kt:8)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection$withTransaction$2.invoke(PassthroughConnectionPool.kt:2)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt__RoomDatabase_androidKt.compatTransactionCoroutineExecute(RoomDatabase.android.kt:2187)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabaseKt.compatTransactionCoroutineExecute(dex-id-5bc828ba2ea77a9ed984f9935d099211cf6cd6e7:1)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabase$createConnectionManager$3.invoke(RoomDatabase.android.kt:338)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.RoomDatabase$createConnectionManager$3.invoke(RoomDatabase.android.kt:338)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnection.withTransaction(PassthroughConnectionPool.kt:103)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2$invokeSuspend$$inlined$internalPerform$1.invokeSuspend(DBUtil.kt:59)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2$invokeSuspend$$inlined$internalPerform$1.invoke(DBUtil.kt:8)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performInTransactionSuspending$2$invokeSuspend$$inlined$internalPerform$1.invoke(DBUtil.kt:4)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnectionPool$useConnection$2.invokeSuspend(PassthroughConnectionPool.kt:59)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnectionPool$useConnection$2.invoke(PassthroughConnectionPool.kt:8)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at androidx.room.coroutines.PassthroughConnectionPool$useConnection$2.invoke(PassthroughConnectionPool.kt:4)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.intrinsics.UndispatchedKt.startUndispatchedOrReturn(Undispatched.kt:42)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.BuildersKt__Builders_commonKt.withContext(Builders.common.kt:164)
07-11 18:11:11.045 10487 10540 E AndroidRuntime: 	at kotlinx.coroutines.BuildersKt.withContext(dex-id-fc9e0c92f1ade7650716b75d8748165b5bacf67f:1)
